TSLCL 100
;
234
1;0;0;0
2;0;0;51
3;0;0;102
4;0;0;153
5;0;0;204
6;0;0;255
7;0;51;0
8;0;51;51
9;0;51;102
10;0;51;153
11;0;51;204
12;0;51;255
13;0;102;0
14;0;102;51
15;0;102;102
16;0;102;153
17;0;102;204
18;0;102;255
19;0;153;0
20;0;153;51
21;0;153;102
22;0;153;153
23;0;153;204
24;0;153;255
25;0;204;0
26;0;204;51
27;0;204;102
28;0;204;153
29;0;204;204
30;0;204;255
31;0;255;0
32;0;255;51
33;0;255;102
34;0;255;153
35;0;255;204
36;0;255;255
37;51;0;0
38;51;0;51
39;51;0;102
40;51;0;153
41;51;0;204
42;51;0;255
43;51;51;0
44;51;51;51
45;51;51;102
46;51;51;153
47;51;51;204
48;51;51;255
49;51;102;0
50;51;102;51
51;51;102;102
52;51;102;153
53;51;102;204
54;51;102;255
55;51;153;0
56;51;153;51
57;51;153;102
58;51;153;153
59;51;153;204
60;51;153;255
61;51;204;0
62;51;204;51
63;51;204;102
64;51;204;153
65;51;204;204
66;51;204;255
67;51;255;0
68;51;255;51
69;51;255;102
70;51;255;153
71;51;255;204
72;51;255;255
73;102;0;0
74;102;0;51
75;102;0;102
76;102;0;153
77;102;0;204
78;102;0;255
79;102;51;0
80;102;51;51
81;102;51;102
82;102;51;153
83;102;51;204
84;102;51;255
85;102;102;0
86;102;102;51
87;102;102;102
88;102;102;153
89;102;102;204
90;102;102;255
91;102;153;0
92;102;153;51
93;102;153;102
94;102;153;153
95;102;153;204
96;102;153;255
97;102;204;0
98;102;204;51
99;102;204;102
100;102;204;153
101;102;204;204
102;102;204;255
103;102;255;0
104;102;255;51
105;102;255;102
106;102;255;153
107;102;255;204
108;102;255;255
109;153;0;0
110;153;0;51
111;153;0;102
112;153;0;153
113;153;0;204
114;153;0;255
115;153;51;0
116;153;51;51
117;153;51;102
118;153;51;153
119;153;51;204
120;153;51;255
121;153;102;0
122;153;102;51
123;153;102;102
124;153;102;153
125;153;102;204
126;153;102;255
127;153;153;0
128;153;153;51
129;153;153;102
130;153;153;153
131;153;153;204
132;153;153;255
133;153;204;0
134;153;204;51
135;153;204;102
136;153;204;153
137;153;204;204
138;153;204;255
139;153;255;0
140;153;255;51
141;153;255;102
142;153;255;153
143;153;255;204
144;153;255;255
145;204;0;0
146;204;0;51
147;204;0;102
148;204;0;153
149;204;0;204
150;204;0;255
151;204;51;0
152;204;51;51
153;204;51;102
154;204;51;153
155;204;51;204
156;204;51;255
157;204;102;0
158;204;102;51
159;204;102;102
160;204;102;153
161;204;102;204
162;204;102;255
163;204;153;0
164;204;153;51
165;204;153;102
166;204;153;153
167;204;153;204
168;204;153;255
169;204;204;0
170;204;204;51
171;204;204;102
172;204;204;153
173;204;204;204
174;204;204;255
175;204;255;0
176;204;255;51
177;204;255;102
178;204;255;153
179;204;255;204
180;204;255;255
181;255;0;0
182;255;0;51
183;255;0;102
184;255;0;153
185;255;0;204
186;255;0;255
187;255;51;0
188;255;51;51
189;255;51;102
190;255;51;153
191;255;51;204
192;255;51;255
193;255;102;0
194;255;102;51
195;255;102;102
196;255;102;153
197;255;102;204
198;255;102;255
199;255;153;0
200;255;153;51
201;255;153;102
202;255;153;153
203;255;153;204
204;255;153;255
205;255;204;0
206;255;204;51
207;255;204;102
208;255;204;153
209;255;204;204
210;255;204;255
211;255;255;0
212;255;255;51
213;255;255;102
214;255;255;153
215;255;255;204
216;255;255;255
217;14;14;14
218;28;28;28
219;42;42;42
220;56;56;56
221;70;70;70
222;84;84;84
223;98;98;98
224;112;112;112
225;126;126;126
226;140;140;140
227;154;154;154
228;168;168;168
229;182;182;182
230;196;196;196
231;210;210;210
232;224;224;224
233;238;238;238
234;252;252;252
